OBJECTID,District_N,Shape_Leng,Commission,Shape_STAr,Shape_STLe,SHAPE_Length,SHAPE_Area
1,1,135488.540733,Tim Killeen,634022903.304,135488.540735,0.445929090100152,0.0064426363450194
2,2,221922.581068,Jewel Ware,846394238.12,221922.580057,0.733541459964327,0.0085940483157327
3,3,159494.354986,Martha G. Scott,665880487.485,159494.354787,0.533688625606121,0.0067667444539964
4,4,173859.598317,Ilona Varga,662647288.891,173859.600525,0.553506101595314,0.006720613008837
5,5,134839.400768,Irma Clark-Coleman,598192012.37,134839.402049,0.44917357230716,0.0060790408854386
6,6,109020.808082,Burton Leland,549231036.738,109020.807699,0.361463290002723,0.0055818142810018
7,7,144650.192168,Alisha R. Bell,661140752.106,144650.192407,0.484282536716899,0.0067134658251218
8,8,223685.810305,Diane L. Webb,724600228.955,223685.810483,0.707631921064603,0.0073567144482655
9,9,190170.879643,Terry Marecki,1407354495.63,190170.879502,0.643603308438363,0.0142994818995915
10,10,158966.652602,Joe Barone,1516097045.35,158966.653089,0.496904420094151,0.0153857657136639
11,11,289569.861733,Al Haidous,4385057717.66,289569.861651,0.915187676811658,0.0443980560831365
12,12,132257.61032,Glenn S. Anderson,774188698.282,132257.610545,0.433601345128882,0.0078554616134089
13,13,187215.761014,Gary Woronchak,878721363.596,187215.760798,0.601661470590464,0.0089134247409394
14,14,263360.140204,Raymond E. Basham,1731458993.5,263360.138591,0.798277780932109,0.0175237387073771
15,15,429209.766436,Joseph Palamara,1200247739.54,429209.766697,1.29653222025864,0.0121498625880646
